id,login,pmsName,status,lastSyncDates,syncedAt,syncAgentLastConnected,createdAt,writebackStatus,syncAgentVersion,name,uid
1086,meghan75@bell.org,Dentrix,Active,,2025-03-20 13:27,2025-03-20 13:27,2025-03-18 19:39,,2.0.56.0,Cox Dental,b2f64d83-b43b-4c94-804f-c43a493b73ea
1085,xmendoza@yahoo.com,Dentrix,Active,,2025-03-20 13:18,2025-03-20 13:23,2025-03-17 15:34,,2.0.56.0,Ellis Dentistry,fc7c8e9b-0ff0-40b1-acc3-36c9dfe37885
1084,qbarnes@todd.org,Eaglesoft,Active,,2025-03-20 13:30,2025-03-20 13:20,2025-03-13 20:00,,2.0.72.0,Griffin Dentistry,e86be5a4-9dba-4c51-aa7e-fe2d02afce66
1083,davislinda@yahoo.com,Dentrix,Active,,2025-03-20 13:35,2025-03-20 13:29,2025-03-13 15:05,,2.0.56.0,White Dental Clinic,854f7417-4b07-4370-a671-ccd943623cec
1082,tashabrowning@hotmail.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:24,2025-03-11 16:47,,2.0.80.0,Wang Dental,66dbf9f5-5795-4be7-ad5a-146601409fa9
1082,aschmidt@lamb.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:24,2025-03-11 16:47,,2.0.80.0,Cantrell Dentistry,8afa7646-a310-4b26-9da1-eb1458bbf9c9
1082,susan56@mejia.info,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:24,2025-03-11 16:47,,2.0.80.0,Neal Dental Clinic,cf99c84e-a9c2-43b0-9a92-d3187b49792f
1082,mason11@lopez.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:24,2025-03-11 16:47,,2.0.80.0,Stevens Dental Clinic,d72e984e-dd8a-4f26-bf33-3365205be655
1082,hessemily@gmail.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:24,2025-03-11 16:47,,2.0.80.0,King Family Dentistry,cd7861b7-2135-474f-b8fb-bdc390bd4c5e
1082,freyjennifer@yahoo.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:24,2025-03-11 16:47,,2.0.80.0,Montgomery Smile Center,5b8ebf1d-27f5-4372-bd22-de5ff9b0e78f
1082,laurie33@klein.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:24,2025-03-11 16:47,,2.0.80.0,Miller Dentistry,0232758c-c05b-427e-ae73-e9b22a32ffa5
1082,jeremy59@gmail.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:24,2025-03-11 16:47,,2.0.80.0,Ellis Smile Center,248f186f-9b40-49b4-86b9-9356c52ed838
1082,ijohnston@holland.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:24,2025-03-11 16:47,,2.0.80.0,Anderson Dentistry,1f8b42fb-c8ac-4c61-b60d-624695e9506f
1082,erin94@taylor-wilson.net,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:24,2025-03-11 16:47,,2.0.80.0,Fernandez Dentistry,5b2afeb2-dd8a-44c3-a001-09df71f543e7
1082,carol83@yahoo.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:24,2025-03-11 16:47,,2.0.80.0,King Smile Center,c3072a7f-cf66-4a19-a16f-8755add40198
1081,jeremyhayes@yahoo.com,Curve Dental,Pending,"[{""APIMethods"":""AddAppointment"",""LastSyncDate"":""1900-01-01""}]",,,2025-03-07 19:11,,,Acosta Dental,8bd1e1cf-b7c1-43fb-954e-15149d605f20
1080,xfernandez@armstrong.info,Cloud9,Pending,"[{""APIMethods"":""AddAppointment"",""LastSyncDate"":""1900-01-01""}]",,,2025-03-07 17:58,,,White Dental,ce63f369-a87d-44b3-87cc-5708db33eb9e
1080,kentharris@olson-stephens.com,Cloud9,Pending,"[{""APIMethods"":""AddAppointment"",""LastSyncDate"":""1900-01-01""}]",,,2025-03-07 17:58,,,Jordan Dental Clinic,5f777727-e756-4706-9965-0bcbbc6549ce
1079,vazquezderek@savage-valdez.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:25,2025-03-06 22:26,,2.0.80.0,King Dental Clinic,8bcb3058-f567-4978-9b4d-338b346033e4
1079,butlerrobert@whitney-hunter.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:25,2025-03-06 22:26,,2.0.80.0,Castro Dentistry,0352566b-72d6-4897-95d3-6b4dbd5c0c1b
1079,zturner@morris-lee.com,OpenDental,Active,,2025-03-20 13:32,2025-03-20 13:25,2025-03-06 22:26,,2.0.80.0,Davis Family Dentistry,43853326-4386-49c8-84d0-0b589f67b986
1078,kennedyjulie@hotmail.com,OpenDental,Active,,2025-03-20 13:31,2025-03-20 13:30,2025-03-06 22:22,,2.0.80.0,Miranda Dental Clinic,19a456ff-aa34-4516-9eab-391dd672d3c4
1077,christopher78@sweeney-mack.com,Dentrix,Active,,2025-03-20 00:01,2025-03-20 13:08,2025-03-06 19:07,,2.0.56.0,Jones Dental Clinic,1237aa30-da1c-4b7f-908b-2619846d8969
1076,ngentry@gmail.com,Denticon,Pending,"[{""APIMethods"":""AddAppointment"",""LastSyncDate"":""1900-01-01""}]",,,2025-03-06 13:32,,,Berry Dental Clinic,2eb77bee-647d-4345-8680-4a32af6ccf76
1075,wstone@curtis.com,Dentrix,Active,,2025-03-20 13:34,2025-03-20 13:13,2025-03-04 20:38,,2.0.56.0,Thomas Dental,0ec08767-1fb9-4b92-ac5b-f2285c8a3921
1074,stephenwilson@gmail.com,OpenDental,Active,,2025-03-20 00:31,2025-03-20 13:20,2025-03-04 17:05,,2.0.80.0,Kane Dentistry,8065afe9-ffaf-401f-b68c-e458d068436f
